item_id,name,rarity,purpose,category,effect_summary,value_sell_price,is_consumable,is_material,is_legacy,is_reserved_future,normal_drop_allowed,boss_drop_allowed,raid_drop_allowed,source_summary,progression_tier,estimated_rate_per_100,risk,notes
acc_black_lamp_ring,黒灯の指輪,SR,playable_gear,equipment,黒灯の指輪。,600,NO,NO,NO,NO,YES,NO,NO,煤煙の抜け道(black_lantern_lane),late,0.31/100 trace,low,
acc_deep_gear_ring,深層炉の機構環,SSR,playable_gear,equipment,深層炉の機構環。,2400,NO,NO,NO,NO,YES,YES,NO,深層炉入口(deep_furnace_outpost),late_mid,0.06/100 trace,high,
acc_mist_talisman,霧守りの護符,R,playable_gear,equipment,霧守りの護符。,135,NO,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
acc_moon_pendant,月下のペンダント,SR,playable_gear,equipment,月下のペンダント。,540,NO,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
acc_old_king_seal,旧王の印章,UR,playable_gear,equipment,旧王の印章。,15000,NO,NO,NO,NO,YES,YES,YES,—,raid,0/none,high,
acc_raid_random,残響の指輪,SSR,collection,equipment,残響の指輪。,3600,NO,NO,NO,NO,NO,NO,YES,マキナの残響区画(valhalla_fortress),raid,0.06/100 trace,medium,raid報酬専用
acc_silver_bracelet,白銀の腕輪,R,playable_gear,equipment,白銀の腕輪。,120,NO,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
acc_starfall_earring,星落ちの耳飾り,SSR,playable_gear,equipment,星落ちの耳飾り。,2700,NO,NO,NO,NO,YES,YES,NO,星落ちの観測台(starfall_observatory),late,0.06/100 trace,high,
acc_traveler_ring,旅人の指輪,N,playable_gear,equipment,旅人の指輪。,24,NO,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
acc_traveler_talisman,旅人の護符,N,playable_gear,equipment,旅人の護符。,24,NO,NO,NO,NO,YES,NO,NO,—,early,0/none,low,
acc_valhalla_necklace,ヴァルハラの首飾り,UR,playable_gear,equipment,ヴァルハラの首飾り。,10500,NO,NO,NO,NO,YES,YES,YES,—,raid,0/none,high,
arm_set_ash_crown_arms,灰冠篭手,SR,playable_gear,equipment,灰冠篭手,40,NO,NO,NO,NO,YES,NO,NO,灰冠の王都地下(ash_capital),late_mid,0.32/100 trace,low,
arm_set_ash_crown_body,灰冠鎧,SR,playable_gear,equipment,灰冠鎧,40,NO,NO,NO,NO,YES,NO,NO,王都地下牢(ash_capital),late_mid,0.32/100 trace,low,
arm_set_ash_crown_feet,灰冠靴,SR,playable_gear,equipment,灰冠靴,40,NO,NO,NO,NO,YES,NO,NO,破れた玉座前(ash_capital),late_mid,0.32/100 trace,low,
arm_set_ash_crown_head,灰冠兜,SR,playable_gear,equipment,灰冠兜,40,NO,NO,NO,NO,YES,NO,NO,旧統治軍詰所(ash_capital),late_mid,0.32/100 trace,low,
arm_set_ash_crown_legs,灰冠腿当て,SR,playable_gear,equipment,灰冠腿当て,40,NO,NO,NO,NO,YES,NO,NO,灰の大通り(ash_capital),late_mid,0.33/100 trace,low,
arm_set_black_lamp_arms,黒灯篭手,SSR,playable_gear,equipment,黒灯篭手,40,NO,NO,NO,NO,YES,YES,NO,—,mid,0/none,high,
arm_set_black_lamp_body,黒灯鎧,SSR,playable_gear,equipment,黒灯鎧,40,NO,NO,NO,NO,YES,YES,NO,煤煙の抜け道(black_lantern_lane),late,0.06/100 trace,high,
arm_set_black_lamp_feet,黒灯靴,SSR,playable_gear,equipment,黒灯靴,40,NO,NO,NO,NO,YES,YES,NO,呪具置き場(forgotten_market),mid,0.07/100 trace,high,
arm_set_black_lamp_head,黒灯兜,SSR,playable_gear,equipment,黒灯兜,40,NO,NO,NO,NO,YES,YES,NO,黒灯りの路地(black_lantern_lane),late,0.06/100 trace,high,
arm_set_black_lamp_legs,黒灯腿当て,SSR,playable_gear,equipment,黒灯腿当て,40,NO,NO,NO,NO,YES,YES,NO,—,mid,0/none,high,
arm_set_deep_furnace_arms,深層炉篭手,SSR,playable_gear,equipment,深層炉篭手,40,NO,NO,NO,NO,YES,YES,NO,深層炉入口(deep_furnace_outpost),late_mid,0.06/100 trace,high,
arm_set_deep_furnace_body,深層炉鎧,SSR,playable_gear,equipment,深層炉鎧,40,NO,NO,NO,NO,YES,YES,NO,機工整備場(deep_furnace_outpost),late,0.06/100 trace,high,
arm_set_deep_furnace_feet,深層炉靴,SSR,playable_gear,equipment,深層炉靴,40,NO,NO,NO,NO,YES,YES,NO,鉄熱の補給路(deep_furnace_outpost),late,0.08/100 trace,high,
arm_set_deep_furnace_head,深層炉兜,SSR,playable_gear,equipment,深層炉兜,40,NO,NO,NO,NO,YES,YES,NO,炉心監視塔(deep_furnace_outpost),late,0.06/100 trace,high,
arm_set_deep_furnace_legs,深層炉腿当て,SSR,playable_gear,equipment,深層炉腿当て,40,NO,NO,NO,NO,YES,YES,NO,アーク残滓研究所(deep_furnace_outpost),late,0.07/100 trace,high,
arm_set_dragonbone_arms,竜骨篭手,SR,playable_gear,equipment,竜骨篭手,40,NO,NO,NO,NO,YES,NO,NO,竜骨の峡谷(dragonbone_valley),late_mid,0.32/100 trace,low,
arm_set_dragonbone_body,竜骨鎧,SR,playable_gear,equipment,竜骨鎧,40,NO,NO,NO,NO,YES,NO,NO,骨喰い鳥の巣(dragonbone_valley),late_mid,0.32/100 trace,low,
arm_set_dragonbone_feet,竜骨靴,SR,playable_gear,equipment,竜骨靴,40,NO,NO,NO,NO,YES,NO,NO,古竜の裂け目(dragonbone_valley),late_mid,0.33/100 trace,low,
arm_set_dragonbone_head,竜骨兜,SR,playable_gear,equipment,竜骨兜,40,NO,NO,NO,NO,YES,NO,NO,大骨市場跡(dragonbone_valley),late_mid,0.31/100 trace,low,
arm_set_dragonbone_legs,竜骨腿当て,SR,playable_gear,equipment,竜骨腿当て,40,NO,NO,NO,NO,YES,NO,NO,竜鳴きの崖(dragonbone_valley),late_mid,0.31/100 trace,low,
arm_set_glass_arms,硝子沼篭手,SR,playable_gear,equipment,硝子沼篭手,40,NO,NO,NO,NO,YES,NO,NO,沼底の参道(glass_marsh),late_mid,0.31/100 trace,low,
arm_set_glass_body,硝子沼鎧,SR,playable_gear,equipment,硝子沼鎧,40,NO,NO,NO,NO,YES,NO,NO,割れた水面(glass_marsh),late_mid,0.32/100 trace,low,
arm_set_glass_feet,硝子沼靴,SR,playable_gear,equipment,硝子沼靴,40,NO,NO,NO,NO,YES,NO,NO,硝子花の群生地(glass_marsh),late_mid,0.33/100 trace,low,
arm_set_glass_head,硝子沼兜,SR,playable_gear,equipment,硝子沼兜,40,NO,NO,NO,NO,YES,NO,NO,硝子沼(glass_marsh),late_mid,0.32/100 trace,low,
arm_set_glass_legs,硝子沼腿当て,SR,playable_gear,equipment,硝子沼腿当て,40,NO,NO,NO,NO,YES,NO,NO,反射する森(glass_marsh),late_mid,0.32/100 trace,low,
